sim,scenario,nb_acc,nb_non_acc
B1_1,1,21,195
B1_1,2,27,177
B1_1,3,24,174
B1_1,4,19,165
B1_1,5,25,162
B1_1,6,18,165
B1_2,1,14,142
B1_2,2,13,136
B1_2,3,8,119
B1_2,4,8,131
B1_2,5,10,115
B1_2,6,12,122
B1_3,1,13,102
B1_3,2,15,98
B1_3,3,8,89
B1_3,4,8,78
B1_3,5,9,86
B1_3,6,8,78
B1_4,1,28,414
B1_4,2,20,409
B1_4,3,29,365
B1_4,4,20,374
B1_4,5,27,367
B1_4,6,20,374
B1_5,1,28,347
B1_5,2,21,352
B1_5,3,17,327
B1_5,4,24,308
B1_5,5,21,321
B1_5,6,24,308
B1_6,1,4,109
B1_6,2,6,106
B1_6,3,3,88
B1_6,4,8,87
B1_6,5,6,84
B1_6,6,8,87
B1_7,1,16,275
B1_7,2,19,267
B1_7,3,11,256
B1_7,4,13,185
B1_7,5,13,249
B1_7,6,13,185
B1_8,1,21,221
B1_8,2,20,220
B1_8,3,20,196
B1_8,4,23,177
B1_8,5,23,191
B1_8,6,23,177
B1_9,1,17,288
B1_9,2,19,273
B1_9,3,16,218
B1_9,4,20,234
B1_9,5,14,210
B1_9,6,16,235
B1_10,1,6,261
B1_10,2,16,256
B1_10,3,13,220
B1_10,4,17,226
B1_10,5,13,225
B1_10,6,17,226
B1_11,1,23,338
B1_11,2,13,333
B1_11,3,17,315
B1_11,4,11,296
B1_11,5,15,304
B1_11,6,11,295
B1_12,1,19,245
B1_12,2,19,244
B1_12,3,15,219
B1_12,4,15,209
B1_12,5,17,216
B1_12,6,15,209
B1_13,1,25,228
B1_13,2,25,228
B1_13,3,21,206
B1_13,4,20,200
B1_13,5,18,208
B1_13,6,20,200
B1_14,1,30,360
B1_14,2,29,344
B1_14,3,38,282
B1_14,4,15,267
B1_14,5,34,270
B1_14,6,15,267
B1_15,1,31,304
B1_15,2,36,297
B1_15,3,34,246
B1_15,4,21,262
B1_15,5,28,250
B1_15,6,21,262
B1_16,1,17,336
B1_16,2,16,327
B1_16,3,14,308
B1_16,4,15,276
B1_16,5,13,299
B1_16,6,15,276
B1_17,1,17,187
B1_17,2,14,189
B1_17,3,12,158
B1_17,4,13,165
B1_17,5,12,157
B1_17,6,13,165
B1_18,1,12,117
B1_18,2,12,110
B1_18,3,14,97
B1_18,4,12,63
B1_18,5,13,91
B1_18,6,12,63
B1_19,1,23,312
B1_19,2,23,296
B1_19,3,22,265
B1_19,4,20,255
B1_19,5,12,259
B1_19,6,20,255
B1_20,1,9,208
B1_20,2,6,206
B1_20,3,8,178
B1_20,4,5,151
B1_20,5,9,172
B1_20,6,5,151
B1_21,1,16,149
B1_21,2,14,146
B1_21,3,12,134
B1_21,4,10,125
B1_21,5,12,130
B1_21,6,10,125
B1_22,1,20,274
B1_22,2,25,266
B1_22,3,25,206
B1_22,4,18,250
B1_22,5,23,206
B1_22,6,20,247
B1_23,1,22,250
B1_23,2,22,249
B1_23,3,17,226
B1_23,4,13,232
B1_23,5,20,222
B1_23,6,13,232
B1_24,1,19,269
B1_24,2,15,271
B1_24,3,19,232
B1_24,4,18,240
B1_24,5,20,231
B1_24,6,18,240
B1_25,1,35,322
B1_25,2,37,318
B1_25,3,24,286
B1_25,4,31,285
B1_25,5,24,285
B1_25,6,32,284
B1_26,1,14,185
B1_26,2,13,182
B1_26,3,14,164
B1_26,4,11,149
B1_26,5,11,162
B1_26,6,11,149
B1_27,1,16,218
B1_27,2,18,206
B1_27,3,17,189
B1_27,4,13,176
B1_27,5,15,181
B1_27,6,13,176
B1_28,1,20,230
B1_28,2,20,228
B1_28,3,18,185
B1_28,4,12,204
B1_28,5,18,183
B1_28,6,12,204
B1_29,1,24,221
B1_29,2,17,222
B1_29,3,19,192
B1_29,4,13,169
B1_29,5,16,189
B1_29,6,13,169
B1_30,1,20,306
B1_30,2,20,302
B1_30,3,12,253
B1_30,4,19,275
B1_30,5,10,250
B1_30,6,19,275
