sp_infector,infector,n,sim,scenario,nub_trans
NA,NA,NA,S4_1,ref,215
NA,NA,NA,S4_1,1,216
NA,NA,NA,S4_2,ref,156
NA,NA,NA,S4_2,1,156
NA,NA,NA,S4_3,ref,117
NA,NA,NA,S4_3,1,115
NA,NA,NA,S4_4,ref,457
NA,NA,NA,S4_4,1,448
NA,NA,NA,S4_5,ref,375
NA,NA,NA,S4_5,1,375
NA,NA,NA,S4_6,ref,113
NA,NA,NA,S4_6,1,113
NA,NA,NA,S4_7,ref,291
NA,NA,NA,S4_7,1,291
NA,NA,NA,S4_8,ref,242
NA,NA,NA,S4_8,1,242
NA,NA,NA,S4_9,ref,305
NA,NA,NA,S4_9,1,305
NA,NA,NA,S4_10,ref,277
NA,NA,NA,S4_10,1,276
NA,NA,NA,S4_11,ref,362
NA,NA,NA,S4_11,1,361
NA,NA,NA,S4_12,ref,269
NA,NA,NA,S4_12,1,268
NA,NA,NA,S4_13,ref,255
NA,NA,NA,S4_13,1,254
NA,NA,NA,S4_14,ref,391
NA,NA,NA,S4_14,1,392
NA,NA,NA,S4_15,ref,335
NA,NA,NA,S4_15,1,335
NA,NA,NA,S4_16,ref,353
NA,NA,NA,S4_16,1,353
NA,NA,NA,S4_17,ref,204
NA,NA,NA,S4_17,1,204
NA,NA,NA,S4_18,ref,129
NA,NA,NA,S4_18,1,129
NA,NA,NA,S4_19,ref,335
NA,NA,NA,S4_19,1,336
NA,NA,NA,S4_20,ref,217
NA,NA,NA,S4_20,1,218
NA,NA,NA,S4_21,ref,165
NA,NA,NA,S4_21,1,165
NA,NA,NA,S4_22,ref,294
NA,NA,NA,S4_22,1,294
NA,NA,NA,S4_23,ref,272
NA,NA,NA,S4_23,1,273
NA,NA,NA,S4_24,ref,297
NA,NA,NA,S4_24,1,288
NA,NA,NA,S4_25,ref,358
NA,NA,NA,S4_25,1,357
NA,NA,NA,S4_26,ref,199
NA,NA,NA,S4_26,1,199
NA,NA,NA,S4_27,ref,234
NA,NA,NA,S4_27,1,232
NA,NA,NA,S4_28,ref,250
NA,NA,NA,S4_28,1,250
NA,NA,NA,S4_29,ref,244
NA,NA,NA,S4_29,1,244
NA,NA,NA,S4_30,ref,326
NA,NA,NA,S4_30,1,326
